DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,DATE,EXPENSE CATEGORY,DESCRIPTION,AMOUNT,,,,,,,,,,,,,
2026-02-05,,Other,Bus,VIP,240,variable,"Paid by Owner, Paajoe",,2026-04-18,AI Tools (Pakeru),Anthropic API,71.34,,,,,,,,,,,,,
2026-02-06,,Production,Food,Mampong,75,variable,"Paid by Owner, Paajoe",,2026-04-18,AI Tools (Pakeru),Anthropic API,71.34,,,,,,,,,,,,,
2026-02-11,,Production,Food,Mampong,75,variable,"Paid by Owner, Paajoe",,2026-04-20,Personal Subs,Spotify,24,,,,,,,,,,,,,
2026-02-12,,Production,Food,Mampong,75,variable,"Paid by Owner, Paajoe",,2026-04-21,Other,Fuel,400,,,,,,,,,,,,,
2026-02-14,,Other,Bus,VIP,220,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-22,Production,Linen Fabrics,7485,,,,,,,,,,,,,
2026-02-14,,Other,Transport,Bolt,148,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-22,Production,Sewing,2515,,,,,,,,,,,,,
2026-02-14,,Other,Food,Queens,60,variable,"Paid by Owner, Paajoe",,2026-04-22,AI Tools (Pakeru),Anthropic API,142.67,,,,,,,,,,,,,
2026-02-14,,Other,Bus,VIP,120,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-23,Meta Ads (Pakeru),Facebook/Instagram ads,341.89,,,,,,,,,,,,,
2026-02-14,,Other,Food,Pizzaman,320,variable,"Paid by Owner, Paajoe",,2026-04-24,Insurance,Insurance payment,565,,,,,,,,,,,,,
2026-02-14,,Other,Transport,Taxi,20,variable,"Paid by Owner, Paajoe",,2026-04-26,AI Tools (Pakeru),Hostinger hosting,121.49,,,,,,,,,,,,,
2026-02-17,,Asset,Industrial cutter,UT,1000,variable,Paid by OPM (Abeiku),,2026-04-29,Marketing,Ai,522,,,,,,,,,,,,,
2026-02-17,,Asset,buttos,UT,80,variable,Paid by OPM (Abeiku),,2026-04-29,Other,Payment to Mr Kay - unclear purpose,1000,,,,,,,,,,,,,
2026-02-17,,Asset,button hole machine,UT,6500,variable,Paid by OPM (Abeiku),,2026-04-29,AI Tools (Pakeru),Claude sub,286.64,,,,,,,,,,,,,
2026-02-17,,Asset,button hole machine,UT,300,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-30,Utilities,Fuel,400,,,,,,,,,,,,,
2026-02-18,,Production,Food,Mampong,100,variable,"Paid by Owner, Paajoe",,2026-04-30,AI Tools (Pakeru),Higgsfield AI (image/video gen),585.22,,,,,,,,,,,,,
2026-02-19,,Production,Food,Mampong,100,variable,"Paid by Owner, Paajoe",,2026-05-03,Meta Ads (Pakeru),Facebook/Instagram ads,361.2,,,,,,,,,,,,,
2026-02-21,,AI Tools (Pakeru),ChatGPT subscription,OpenAI,236.5,fixed,"Paid by Owner, Kwadwo Siaw",,2026-05-05,Production (Pakeru),Linen / fabric purchase,1820,,,,,,,,,,,,,
2026-02-23,,Marketing,Ads,Instagram,212,variable,"Paid by Owner, Paajoe",,2026-05-07,Utilities,Water,60,,,,,,,,,,,,,
2026-02-23,,Production,Food,Mampong,100,variable,"Paid by Owner, Paajoe",,2026-05-07,AI Tools (Pakeru),Render hosting,84.28,,,,,,,,,,,,,
2026-02-23,,Other,Delivery,Paa,75,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-08,AI Tools (Pakeru),Anthropic API top-up,72.43,,,,,,,,,,,,,
2026-02-24,,Production,Food,Mampong,100,variable,"Paid by Owner, Paajoe",,2026-05-09,Transport,Rider/VIP dispatch,205,,,,,,,,,,,,,
2026-02-24,,Production (Pakeru),Fabric purchase,Fabric,240,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-15,Meta Ads (Pakeru),Facebook/Instagram ads,364.43,,,,,,,,,,,,,
2026-02-25,,Production,Fabric,Adamu,240,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-15,Production (Pakeru),Sunday measurements,205,,,,,,,,,,,,,
2026-02-25,,Production,Food,ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-17,Personal Subs,Google One storage,6,,,,,,,,,,,,,
2026-02-26,,Production,Food,ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-21,Production (Pakeru),Poly mailer bags,353.5,,,,,,,,,,,,,
2026-02-26,,Production,gift,Pattern,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-21,Utilities,Water,56.56,,,,,,,,,,,,,
2026-02-27,,Marketing,Ads,Instagram,40,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-21,Production (Pakeru),Food,62.5,,,,,,,,,,,,,
2026-02-27,,Marketing,Ad payment,Paa,220,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-25,Meta Ads (Pakeru),Facebook/Instagram ads,521.89,,,,,,,,,,,,,
2026-02-28,,Delivery,Boxes,Vip,151.5,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-26,AI Tools (Pakeru),Hostinger hosting,88.52,,,,,,,,,,,,,
2026-02-28,,Production,Fabrics,Fragroma,9820,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-26,Production (Pakeru),Fuel,305,,,,,,,,,,,,,
2026-02-28,,Production,Fabrics,Aviwill Couture,5890,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-27,Production (Pakeru),Food,80,,,,,,,,,,,,,
2026-02-28,,Delivery,Fabrics,Elvis,407.03,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-28,AI Tools (Pakeru),Claude sub,301.09,,,,,,,,,,,,,
2026-02-28,,Delivery,Fabrics,Transport,205.53,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-28,Utilities,Water,58.5,,,,,,,,,,,,,
2026-02-28,,Marketing,Ads,Higgsfield,520,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-29,AI Tools (Pakeru),Anthropic API,75.27,,,,,,,,,,,,,
2026-02-28,,AI Tools (Pakeru),Claude sub,Anthropic,229.84,fixed,"Paid by Owner, Kwadwo Siaw",,2026-05-30,AI Tools (Pakeru),Anthropic API,75.27,,,,,,,,,,,,,
2026-02-28,,Production (Pakeru),Fabrics,Paa,950,variable,"Paid by Owner, Kwadwo Siaw",,2026-05-30,AI Tools (Pakeru),Higgsfield AI (image/video gen),614.72,,,,,,,,,,,,,
2026-03-03,,Production,Food,Asokore mampong,75,variable,"Paid by Owner, Paajoe",,2026-06-01,Production (Pakeru),Photoshoot - Pool Shoot,500,,,,,,,,,,,,,
2026-03-03,,Production,transport,Wilson,50,variable,"Paid by Owner, Paajoe",,2026-06-01,Other,Cash out to Eric Obeng,303,,,,,,,,,,,,,
2026-03-03,,Production,Delivery,VIP,170,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-01,Production (Pakeru),Tailoring - Jabil,200,,,,,,,,,,,,,
2026-03-03,,Production (Pakeru),Paint,Paa,200,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-01,Production (Pakeru),Fuel,705,,,,,,,,,,,,,
2026-03-03,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,563.62,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-03,Transport,Bolt ride,164,,,,,,,,,,,,,
2026-03-03,,Other,Store purchase,Paa,200,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-03,Production (Pakeru),Food,140,,,,,,,,,,,,,
2026-03-04,,Production,Food,Ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-03,Other,Cash out to Ibrahim Akon Dawood,606,,,,,,,,,,,,,
2026-03-08,,Production,Sewing,Bismark,1895,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-04,AI Tools (Pakeru),Claude sub,303.67,,,,,,,,,,,,,
2026-03-09,,Production,Food,Ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-04,Other,Payment to Elvis - Ride around,505,,,,,,,,,,,,,
2026-03-10,,Production,"Paint, brush",Asokore mampong,200,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-04,Transport,Rider/dispatch,30,,,,,,,,,,,,,
2026-03-10,,Production,Paint,Patassi,400,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-04,Other,Cash out to Emelia Kumodzi,101,,,,,,,,,,,,,
2026-03-10,,Production,Table,Efo,818,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-05,Other,Payment to Paa - Food,100,,,,,,,,,,,,,
2026-03-10,,Delivery,Table,Motor,200,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-05,Office,Welfare,200,,,,,,,,,,,,,
2026-03-10,,Production,Food,Patassi,100,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-09,Marketing,LED board advertising,612,,,,,,,,,,,,,
2026-03-10,,Production,Gloves,segoelane,70,variable,"Paid by Owner, Kwadwo Siaw",,2026-06-09,Utilities,Fuel,400,,,,,,,,,,,,,
2026-03-10,,Production,Transport,Wilson,50,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-11,,Production,Fuel,Zen,100,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-11,,Production,button hole machine(service charge),Patasi,250,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-11,,Production,button hole machine(service charge),UT,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-11,,Production,Foam maker,Anloga,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-12,,AI Tools (Pakeru),Adobe Creative Cloud (refunded),Adobe,1393.08,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-16,,,,Issah Abdulai,800,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-18,,Marketing,Photography,Kaymora,2000,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-18,,Other,Payment to Angela Adusu - Loan,Angela Adusu,1000,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-21,,Marketing,Ad payment - FG,Paa,810,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-22,,Production,Busckets,Ella Kusi,150,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-23,,Marketing,Ad payment - GUI,Paa,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK A9773JM2S2 (fb me),Facebook,353.62,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK VQXGDHZCT2 (fb me),Facebook,235.75,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK F3ACFKV2S2,Facebook,60,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK NZ7A3LD2S2,Facebook,28.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK V47ZBJR2S2,Facebook,28.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK QMLLGJ92S2,Facebook,28.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,FACEBK SBXHGJ92S2,Facebook,28.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-25,,Marketing,HIGGSFIELD INC YK34BRNQ,Higgsfield,234.57,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK PKY95LD2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 448C5LD2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK ZZE7KKV2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UPHAWLZZR2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UYJ47JM2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UF6FKKV2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FLVCFJR2S2,Facebook,184.92,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 3RB5SJH2S2,Facebook,227.42,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK DLNAJJ92S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UYQH6JM2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK HGSK6JM2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FAEPDJR2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK ZAW6ZJ52S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK Q2BT2MVZR2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FNGU4JM2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CXF8FJH2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CBUY4JM2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CGPL3LD2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK BFRKCJR2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CHLSZLVZR2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK BULGYJ52S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 6ETBVLZZR2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,28.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Marketing,FACEBK K58R4LD2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Marketing,FACEBK BHHEDJR2S2,Facebook,28.49,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,AI Tools (Pakeru),Claude sub,Anthropic,235.86,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,256.38,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,117.93,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,199.41,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-27,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,199.41,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK ZW299K52S2,Facebook,270.52,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK NQ7VYJH2S2,Facebook,555.18,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK VMXECLD2S2,Facebook,512.4,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK HQLQBLD2S2,Facebook,398.53,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK A5774K52S2,Facebook,199.41,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,FACEBK D2DSLKV2S2,Facebook,199.41,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Marketing,HIGGSFIELD INC YK34BRNQ,Higgsfield,117.93,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-28,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,213.59,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK ZSDDCK52S2,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK 7RQPUJ92S2,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK QGMJDLD2S2,Facebook,526.78,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK NH997K52S2,Facebook,213.59,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,FACEBK PV49AJM2S2,Facebook,256.38,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Marketing,HIGGSFIELD INC YK34BRNQ,Higgsfield,577.58,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-29,,Production (Pakeru),Fuel,Goil,300,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-30,,Meta Ads (Pakeru),Facebook/Instagram ads,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,Marketing,FACEBK UDFSYJ92S2,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,Marketing,FACEBK FMQHFMVZR2,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Render hosting,Render,82.7,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,59.07,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,59.07,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-31,,AI Tools (Pakeru),Anthropic API,Anthropic,59.07,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-01,,Marketing,FACEBK UDFSYJ92S2,Facebook,284.66,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-02,,Transport,Rider/dispatch fee,Rider,55,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-05,,AI Tools (Pakeru),Claude sub,Anthropic,236.5,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-06,,Utilities,Electricity,Electric guy,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-07,,Production,Fuel,Goil,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-08,,AI Tools (Pakeru),Render hosting,Render,82.5,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-08,,Production (Pakeru),Bank deposit to Pakeru Ltd account,Pakeru Ltd,300,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-09,,Production,Electricity,MK,800,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-09,,Utilities,Water,Water bill,60,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,Production,Delivery,Seth,50,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,Marketing,Ai,Higgsfield,374.688,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-10,,AI Tools (Pakeru),Anthropic API,Anthropic,71.08,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,Production,Fuel,Goil,500,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,403.15,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-12,,AI Tools (Pakeru),Anthropic API,Anthropic,71.08,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Fuel,Goil,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Plastic band,UT,80.5,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Thread,Segoe lane,54,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Metal locks,Segoe lane,10,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Production,Food,Szning,162.5,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-16,,Personal Subs,Google One storage,Google,6,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-17,,Production,Knitting thread,Dubai,118,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,142.67,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,71.34,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-18,,AI Tools (Pakeru),Anthropic API,Anthropic,71.34,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-20,,Personal Subs,Spotify,Spotify,24,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-04-21,,Other,Fuel,Goil,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
